,0
0,"Mình hay chơi game, đặc biệt là mấy game đòi hỏi cấu hình như Liên quân, Liên minh tốc chiến, Identity V.... Mình cũng chỉ mới mua máy từ hôm 5/2, nhưng là máy đổi trả của thegioididong chứ không phải hàng đập hộp. Thậm chí hôm mình mua máy còn ko còn hộp, ko còn que lấy sim, chỉ còn củ sạc và dây sạc chính hãng. Nhưng máy vẫn dùng dc rất tốt, rất lâu. Nhân viên của thegioididong bên Cầu Giấy còn hỗ trợ mình rất tốt, hôm đó mình mua máy còn gặp chút sự cố trong việc thanh toán. Mình sẽ giới thiệu cho ng thân và bạn bè"
1,"Mua được 1 tuần,Máy tạm ổn. Bắt sóng kém. Loa trong quá nhỏ. Gọi điện nhiều lúc ko nghe gì. Mở loa ngoài hơi rè. Độ sáng kém, tăng độ sáng hơn nửa cây mà vẫn thấy sang kém hơn con máy cũ của mình để 1/3. Nói chung đắt hơn chất lượng."
2,"Mới mua 20 ngày mà Pin 5000 mà hao nhanh quá không hiểu sao chỉ mở nhạc trên youtube độ sáng không quá 30% mà 30p 17% pin, chiếc realme 3 mua cách đây hơn 1 năm mở nhạc youtube độ sáng dưới 30% mà cũng chỉ hao tầm 15 trở xuống"
3,"Nói chung thì cũng ok. Điểm trừ 1 vài điểm nhỏ nhưng ko đáng kể, máy ok với giá tiền. Còn ai muốn máy sịn máy ngon thì làm ơn bỏ ra vài chục triệu mà mua, khó tánh quá. Tầm tiền này máy này hợp lí ko có gì để bàn cải, mua máy lúc trưa đến giờ thấy bình thường mà. Về lâu dài thì chưa biết. Nhân viên ĐMX phục vụ ok. 4 sao chất lượng."
4,"Máy dùng ok nhưng chơi Liên Quân hoặc Tốc chiến khi chat hay bị loạn phím, nút di chuyển hay bị khựng lại."
5,Máy mượt pin trâu k có j để chê . Mua đc tầm 1 tháng k thấy j thay đổi vẫn ngon như lúc ms mua
6,"Mua chưa đc 1 tháng. Tai nghe cắm vào là bị lỗi. Gỡ tai nghe ra rồi mà vẫn hiển thị là đang sài tai nghe, không dùng đc loa hoài, gắn tai nghe dô lại thì sài như lúc k gắn. Mỗi lần vậy là phải khởi động lại máy. Pin thì ảo kinh khủng. Bật 4G để không trong túi, 2 tiếng sụt 30%"
7,"K biết mấy bác dùng mi9s này có bị vẫn đề lag delay nút nguồn cảm ứng k nhỉ dùng được nửa năm thấy khá ức chế,"
8,Máy mua đc 4 tháng mình chưa đánh rơi bao giờ nhưng điện thoại bị cong . Mình đang sợ là pin phồng . Ko biết có được hảo hành không
9,Tất cả ok riêng vào game Liên quân Game k hỗ trợ mở khóa khoảnh khắc quay màn hình...???
