,comments,ratings
0,Cảm nhận khi sài máy s21 gần đc 1 tháng như thế này. Khi sài máy ko nên cài các ứng dụng như momo hay shopee vì có máy cái chương trình lắc xu á. Lắc đi. Lắc xong mốt camera của bạn phát ra tiếng lắc rắc lớn rồi hỏi sao xui. Đã qua bên TGDD nhờ bạn kỹ thuật test máy máy khác và nó phát ra tiếng lắc rắc nhưng nhỏ hơn máy mình vì để sát tai mới nghe đc. Còn máy thì bạn nvkt test mà mình ngồi vẫn nghe và cuối cùng mình gửi bảo hành(gửi lúc 7h45 phút sáng ngày 22.02 và sang ngày 23 thì có bạn kỹ thuật bên SAMSUNG thông báo là tình trạng máy bình thường mà mình đã cố giải thích rồi nhưng bên đó vẫn nói vậy là do thiết kế của máy. Ủa thiết kế gì nghe lạ v. Nếu lúc đầu bảo ừ thiết kế máy kêu thử coi mình có mua không giờ thì nói v. Mình nói không chấp nhận nhưng bên đó nói dù a không chấp nhận thì bên tui vẫn gửi máy về trả lại anh. Nghe giống ép ng quá). Thôi thì giờ chỉ đợi bên TGDD qua báo lấy hàng lại rồi coi bên công ty xử lý ntn? Nếu nói bth thì thôi mình thua. Dù gì chỉ là 1 khách hàng trong hàng chục triệu ng tiêu dùng thôi. Nhỏ lớn tới giờ chỉ mua đồ điện tử ở đây thôi mà h gặp v thì chắc có thể suy nghĩ lại. Điện thoại cả chục triệu chứ ko phải vài triệu. ,1
1,"Thiết kế đẹp, nhỏ gọn, nhẹ, chụp hình tốt, chơi game liên quân, pubg tốt, màn hình sắc nét, sáng, âm thanh tốt...Chỉ không vừa lòng khoản pin khá hẻo và sạc nhanh chỉ 25W, tăng sạc nhanh lên chút là đẹp, 4 sao cho chất lượng!",4
2,Luôn sử dụng dòng S từ s2 đến bjo là s21. Chưa bao giờ thất vọng. Pin dùng cả ngày thoải mái. Hiệu năng quá ổn........,5
3,mình mua khi nó mới về luôn xài thấy pin rất ok lâu cả ngày xài k nhiều 6h về tới nhà vẫn còn khoảng 70% tối nghịch chán 10h đi ngủ ít nhất vẫn còn 40% . chụp ảnh rất ok,5
4,"Định cho 3 sao nhưng thấy 3 sao thì khắt khe quá nên cho lên 4.
Mình mua máy này được khoảng nửa tháng theo chương trình thu cũ đổi mới từ A7(2018) lên nên thấy giá khá hời (khoảng 13 tr, tính luôn cả tiền máy lẫn adapter và tai nghe mua thêm). 
Do máy cũ là dòng A nên khi đổi lên dòng S thấy màn hình đẹp hơn hẳn, máy mượt, cam cũng đẹp (cả trước và sau). Chức năng chụp một chạm trải nghiệm vài lần đầu thì cũng thấy thú vị.
Điểm trừ của máy này là pin không như kỳ vọng, chỉ được cái sạc nhanh chứ tụt pin nhanh hơn máy cũ của mình lúc mới mua về. Vài ngày đầu sử dụng thì máy rất mau nóng (sau khi sử dụng tầm khoảng 10 - 15 phút) dù chỉ dùng các ứng dụng cơ bản như zalo, facebook (mình không chơi game). Sau đó mình phải tắt hết thông báo của toàn bộ ứng dụng, mỗi lần mở máy lên phải dọn dẹp bộ nhớ 1 lần thì mới bớt nóng (nhưng không hết hẳn).
Có vài phần mềm mặc định dư thừa nhưng muốn xoá cho nhẹ máy lại không xoá được. Ví dụ như samsung free, chủ yếu chỉ cập nhật tin tức.",4
5,"Mới mua dùng 2 ngày thì thấy pin yếu hơn con xiaomi cũng 4000mha và rất nóng máy, k hiểu tại sao dùng fb zalo thôi mà máy nóng ghê vậy",2
6,"Sản phẩm dùng tốt.
Camera đẹp, pin OK.
Thiết kế nhỏ gọn, cầm rất vừa tay.
Mua trade-in từ S7 lên S21.
TGDĐ phục vụ tuyệt vời.
",5
7,"Ok đẹp gọn, chụp hình miễn bàn, game mượt. Mua được 28 ngày rôi. Được bảo hành rơi vỡ 1 năm và smarthing hay lắm.",5
8,Cảm nhận khi sài máy s21 gần đc 1 tháng như thế này. Khi sài máy ko nên cài các ứng dụng như momo hay shopee vì có máy cái chương trình lắc xu á. Lắc đi. Lắc xong mốt camera của bạn phát ra tiếng lắc rắc lớn rồi hỏi sao xui. Đã qua bên TGDD nhờ bạn kỹ thuật test máy máy khác và nó phát ra tiếng lắc rắc nhưng nhỏ hơn máy mình vì để sát tai mới nghe đc. Còn máy thì bạn nvkt test mà mình ngồi vẫn nghe và cuối cùng mình gửi bảo hành(gửi lúc 7h45 phút sáng ngày 22.02 và sang ngày 23 thì có bạn kỹ thuật bên SAMSUNG thông báo là tình trạng máy bình thường mà mình đã cố giải thích rồi nhưng bên đó vẫn nói vậy là do thiết kế của máy. Ủa thiết kế gì nghe lạ v. Nếu lúc đầu bảo ừ thiết kế máy kêu thử coi mình có mua không giờ thì nói v. Mình nói không chấp nhận nhưng bên đó nói dù a không chấp nhận thì bên tui vẫn gửi máy về trả lại anh. Nghe giống ép ng quá). Thôi thì giờ chỉ đợi bên TGDD qua báo lấy hàng lại rồi coi bên công ty xử lý ntn? Nếu nói bth thì thôi mình thua. Dù gì chỉ là 1 khách hàng trong hàng chục triệu ng tiêu dùng thôi. Nhỏ lớn tới giờ chỉ mua đồ điện tử ở đây thôi mà h gặp v thì chắc có thể suy nghĩ lại. Điện thoại cả chục triệu chứ ko phải vài triệu. ,1
9,"MUA HÀNG Ở TGDD VÀ SỬA HÀNG Ở TGDD.
*Đầu tiên nói về mua hàng, tôi mua về nhân viên nói là máy mới nhưng máy không có seal, và mua rồi thì lôi hộp từ chỗ khác ra, cho tôi hỏi là tại sao máy một nơi mà hộp một nẻo??? mà mang từ kho ra còn bảo là mới? Rồi mang nên hãng kiểm tra xem có đúng không? Tôi mua máy chứ rảnh đâu mà đi kiểm tra, không nguyên hộp nguyên seal mà cứ khăng khăng máy mới???
*VỀ VẤN ĐỀ SỬA CHỮA THÌ RẤT CÁU.
tôi mua hàng ở TGDD và mới bị rơi nước nên mang đi sửa, nhân viên báo giá là thay màn hình 1.040.000₫ VÀ KHÔNG HỖ TRỢ THAY MÀN GÌ CẢ CHO DÙ CÓ MUA TẠI TGDD. Ổn thôi! NHƯNG KHI THAY XONG THÌ MẤT HẾT SẠCH DỮ LIỆU TRONG MÁY, NHÂN VIÊN THÌ RA LƯƠN LẸO LÀ THƯỜNG THÌ THAY MÀN HÌNH SẼ MẤT DỮ LIỆU, ĐÉO HIỂU SAO NGHĨ RA ĐƯỢC CÁI LÝ DO NGỚ NGẨN NHƯ VẬY??? CÚ ĐÉO CHỊU ĐƯỢC. THAY MÀN HÌNH LIÊN QUAN ĐÉO GÌ TỚI DỮ LIỆU MÁY???

KHÁCH LÀM LỖI THÌ VẪN LẤY TIỀN KHÔNG THIẾU 1 XU, TGDD LÀM LỖI THÌ TÌM CÁCH LƯƠN LẸO TỪ CHỐI. CÁI MÁY CỦA TÔI RẺ NHƯNG QUAN TRỌNG LÀ DỮ LIỆU BÊN TRONG CỦA TÔI, MẤT DỮ LIỆU THÌ THAY MÀN LÀM ĐÉO GÌ NỮA, BIẾT VẬY RA QUÁN CỎ SỬA CHO XONG. CAY VKL",1
10,Pin hơi yếu hơn kì vọng.  Dùng chỉ nửa ngày là sạc dù ko chơi games. Máy dùng mượt. Cam đẹp.,4
11,Đã mua 1 cái S21 5G màu tím và hoàn toàn thỏa mãn. Không có điểm nào để chê cả. Mong SS sẽ duy trì thiết kế của S21 5G cho các phiên bản sau.,5
